event_id,event_name,event_start,event_end,team,player,gender_guess,roster_slot,acquisition,buy_type,wakicash_base_price,source_note
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Bay Area Breakers,Mya Bui,F,1,Kept,player,7800,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Bay Area Breakers,Ella Yeh,F,2,Pick 26,player,6200,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Bay Area Breakers,Genie Erokhina,F,3,Pick 48,player,5200,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Bay Area Breakers,Pablo Tellez,M,4,Kept,player,7800,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Bay Area Breakers,Len Yang,M,5,Pick 18,player,6800,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Bay Area Breakers,Luc Pham,M,6,Pick 49,player,5200,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Carolina Hogs,Ava Ignatowich,F,1,Kept,player,8500,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Carolina Hogs,Angie Walker,F,2,Kept,player,7600,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Carolina Hogs,Isabella Dunlap,F,3,Pick 66,player,4400,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Carolina Hogs,James Delgado,M,4,Kept,player,6800,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Carolina Hogs,DJ Young,M,5,Kept,player,7600,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Carolina Hogs,Brandon French,M,6,Pick 65,player,4500,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Columbus Sliders,Parris Todd,F,1,Kept,player,9000,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Columbus Sliders,Danni-Elle Townsend,F,2,Pick 3,player,8800,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Columbus Sliders,Alli Phillips,F,3,Pick 42,player,5600,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Columbus Sliders,Andrei Daescu,M,4,Kept,player,9000,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Columbus Sliders,CJ Klinger,M,5,Kept,player,8000,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Columbus Sliders,Alex Crum,M,6,Pick 50,player,5200,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Dallas Flash,Hurricane Tyra Black,F,1,Kept,player,9000,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Dallas Flash,Callie Smith,F,2,Pick 19,player,7000,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Dallas Flash,Samantha Parker,F,3,Pick 57,player,4900,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Dallas Flash,JW Johnson,M,4,Kept,player,10000,MLP roster table
mlp_dallas_2026,MLP Dallas 2026,2026-05-22,2026-05-25,Dallas Flash,Augie Ge,M,5,Kept,player,7200,MLP roster table
