First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Levi,Anderson,M,8,Atlas,1,7,6,4,2,2,1,5,0.8,5,1,2,1,2,1,0,0,1,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Bryan,Costabile,M,26,Atlas,1,6,6,5,4,1,0,10,0.5,10,1,4,0.25,4,1,0,0,0,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,1
Matt,Brandau,M,41,Whipsnakes,1,5,4,4,4,0,1,9,0.44,8,0.88,1,0,0,0,0,0,1,33,24,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,2,2
Michael,Sowers,A,22,Waterdogs,1,5,3,3,3,0,2,8,0.37,5,0.62,0,0,0,0,2,0,2,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Michael,Boehm,A,91,Redwoods,1,5,3,3,3,0,2,4,0.75,3,0.75,0,0,0,0,1,0,2,57,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Connor,Fields,A,5,Archers,2,5,4,4,4,0,1,10,0.4,7,0.7,0,0,0,0,6,0,3,61,45,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,2,2
Sam,King,A,9,Archers,2,5,3,3,3,0,2,8,0.37,5,0.62,0,0,0,0,5,0,6,68,55,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,2,1
Ryan,Stines,M,6,Archers,2,5,2,2,2,0,3,6,0.33,2,0.33,0,0,0,0,3,1,1,69,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Aidan,Carroll,A,12,Whipsnakes,1,4,2,2,2,0,2,7,0.28,5,0.71,1,0,0,0,1,0,2,44,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1
Jack,Hannah,M,3,Waterdogs,1,4,2,2,2,0,2,7,0.28,4,0.57,1,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Connor,Kelly,M,40,Waterdogs,1,4,4,2,0,2,0,5,0.4,4,0.8,2,1,2,1,0,1,0,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
TJ,Malone,A,7,Whipsnakes,1,3,2,2,2,0,1,5,0.4,4,0.8,0,0,0,0,1,0,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
