First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Connor,Shellenberger,A,1,Atlas,10,46,23,23,23,0,23,48,0.47,37,0.77,0,0,0,0,15,1,12,361,298,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,12,11
Michael,Sowers,A,22,Waterdogs,10,41,18,18,18,0,23,65,0.27,50,0.76,1,0,1,1,25,0,8,325,235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,4
Jeff,Teat,A,7,Atlas,10,40,17,17,17,0,23,69,0.24,42,0.6,2,0,2,1,23,1,18,376,284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9,8
Pat,Kavanagh,A,51,Outlaws,10,37,21,21,21,0,16,90,0.23,60,0.66,2,0,0,0,24,5,22,454,340,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,0,0,0,9,12
Chris,Kavanagh,A,96,Redwoods,10,37,25,23,21,2,12,78,0.29,51,0.65,7,0.28,7,1,12,4,23,405,315,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,11,12
Asher,Nolting,A,32,Cannons,10,36,10,10,10,0,26,37,0.27,23,0.62,0,0,0,0,22,2,11,292,233,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,4
Brennan,O'Neill,A,42,Outlaws,10,34,26,23,20,3,8,85,0.27,49,0.57,10,0.3,3,0.3,12,1,17,365,268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,18,5
TJ,Malone,A,7,Whipsnakes,10,33,19,18,17,1,14,62,0.29,42,0.67,2,0.5,2,1,15,1,11,314,237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,11,7
Dylan,Molloy,A,4,Redwoods,10,32,27,26,25,1,5,87,0.29,51,0.58,4,0.25,2,0.5,17,2,16,301,197,0,0,0,0,0,0,0,0,0,0,0,3,1.5,3,10,0,0,0,11,15
Kieran,McArdle,A,6,Waterdogs,10,31,19,19,19,0,12,52,0.36,40,0.76,0,0,0,0,23,0,12,284,209,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,6,13
Aidan,Carroll,A,12,Whipsnakes,10,29,21,21,21,0,8,55,0.38,42,0.76,1,0,0,0,13,1,6,294,226,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,3,0,0,0,9,12
Jackson,Eicher,A,19,Chaos,10,28,19,18,17,1,9,70,0.25,41,0.58,9,0.11,7,0.77,16,0,6,228,142,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,5,0,0,0,6,12
Matt,Campbell,M,20,Cannons,10,28,20,18,16,2,8,63,0.28,43,0.68,15,0.13,9,0.6,8,0,6,280,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,7
Owen,Hiltz,A,77,Chaos,7,27,16,16,16,0,11,46,0.34,34,0.73,2,0,2,1,15,3,9,209,148,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,9
Matt,Brandau,M,41,Whipsnakes,10,25,22,22,22,0,3,58,0.37,41,0.7,1,0,0,0,11,2,16,241,172,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,2,0,0,0,10,12
Marcus,Holman,A,1,Cannons,10,24,19,14,9,5,5,55,0.25,34,0.61,19,0.26,13,0.68,11,4,24,376,310,0,0,0,0,0,0,0,0,0,0,0,2,1.5,2,4,0,0,0,3,11
Sam,King,A,9,Archers,10,24,14,13,12,1,10,39,0.33,22,0.56,2,0.5,2,1,20,3,9,223,164,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,8,5
Xander,Dickson,A,10,Atlas,10,24,22,22,22,0,2,54,0.4,39,0.72,1,0,0,0,12,4,28,172,106,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,4,0,0,0,1,21
Andrew,McAdorey,M,2,Redwoods,10,24,15,14,13,1,9,41,0.34,27,0.65,4,0.25,3,0.75,12,3,16,263,210,0.31,6,13,19,0,0,0,0,0,0,0,2,2,0,2,0,0,0,13,1
Bryan,Costabile,M,26,Atlas,10,23,19,16,13,3,4,62,0.25,38,0.61,17,0.17,8,0.47,21,4,12,277,194,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,9,7
Ryder,Garnsey,A,50,Redwoods,10,22,14,14,14,0,8,48,0.29,35,0.72,5,0,1,0.2,18,2,22,325,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
Jared,Bernhardt,M,10,Outlaws,9,22,18,18,18,0,4,53,0.33,33,0.62,0,0,0,0,17,0,8,236,166,0,0,0,0,0,0,0,0,0,0,0,3,1.5,3,5,0,0,0,14,4
Logan,Wisnauskas,A,12,Outlaws,10,21,13,13,13,0,8,43,0.3,31,0.72,3,0,2,0.66,20,0,8,250,187,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,3,10
Rob,Pannell,A,3,Whipsnakes,8,20,7,7,7,0,13,42,0.16,27,0.64,0,0,0,0,19,2,10,271,210,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,6,1
Connor,Fields,A,5,Archers,10,20,14,14,14,0,6,47,0.29,31,0.65,0,0,0,0,16,3,15,254,191,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,3,0,0,0,4,10
Ryan,Drenner,M,22,Cannons,10,20,18,18,18,0,2,39,0.46,24,0.61,2,0,2,1,5,2,4,212,168,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,10
Ross,Scott,M,15,Chaos,10,20,12,12,12,0,8,38,0.31,25,0.65,0,0,0,0,15,0,8,247,194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,5
Coulter,Mackesy,A,91,Cannons,8,20,15,15,15,0,5,54,0.27,35,0.64,4,0,2,0.5,11,1,10,247,182,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,0,6,9
Matt,Traynor,M,2,Atlas,10,20,12,12,12,0,8,52,0.23,29,0.55,2,0,2,1,13,2,16,189,124,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,5,7
Mac,O'Keefe,A,7,Archers,10,18,11,10,9,1,7,48,0.2,35,0.72,8,0.12,5,0.62,9,1,11,205,148,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,1,9
Connor,Kelly,M,40,Waterdogs,10,17,13,10,7,3,4,61,0.16,25,0.4,17,0.17,6,0.35,11,2,8,224,152,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,7,0,0,0,6,4
Jack,Hannah,M,3,Waterdogs,10,17,15,15,15,0,2,59,0.25,35,0.59,7,0,4,0.57,15,1,20,236,162,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,7,0,0,0,10,5
Dalton,Young,M,11,Outlaws,10,17,11,11,11,0,6,25,0.44,20,0.8,0,0,0,0,7,2,8,172,140,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,2,0,0,0,6,5
Adam,Charalambides,A,8,Chaos,9,16,14,14,14,0,2,50,0.28,31,0.62,2,0,1,0.5,18,1,7,271,203,0,0,0,0,0,0,0,0,0,0,0,5,3.5,2,4,0,0,0,6,8
Tom,Schreiber,M,26,Archers,8,15,6,6,6,0,9,34,0.17,18,0.52,3,0,1,0.33,21,2,8,207,152,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,3
Brad,Smith,M,27,Whipsnakes,10,15,14,10,6,4,1,46,0.21,24,0.52,15,0.26,11,0.73,14,1,10,258,198,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,0,0,6,4
Thomas,McConvey,M,12,Waterdogs,10,15,13,13,13,0,2,30,0.43,23,0.76,1,0,0,0,5,1,11,171,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9
Josh,Zawada,A,79,Chaos,8,14,9,9,9,0,5,31,0.29,23,0.74,0,0,0,0,14,1,10,264,219,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,2,7
Jake,Taylor,A,10,Waterdogs,9,14,11,11,11,0,3,33,0.33,25,0.75,0,0,0,0,9,0,12,87,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,7
CJ,Kirst,A,15,Waterdogs,4,13,9,9,9,0,4,27,0.33,20,0.74,0,0,0,0,3,1,4,102,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2
Dyson,Williams,M,51,Archers,10,13,12,12,12,0,1,28,0.42,23,0.82,1,0,0,0,6,0,5,76,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,8
Adam,Poitras,M,51,Whipsnakes,10,13,8,8,8,0,5,32,0.25,23,0.71,0,0,0,0,10,1,35,209,167,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,3,5
Reid,Bowering,M,98,Atlas,7,13,10,10,10,0,3,20,0.5,17,0.85,0,0,0,0,5,1,17,95,70,0,0,0,0,0,0,0,0,0,0,0,1,0.5,3,5,0,0,0,2,8
Jake,Piseno,LSM,88,Outlaws,10,12,8,5,2,3,4,15,0.33,7,0.46,11,0.27,4,0.36,7,12,34,88,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Zach,Currier,M,77,Waterdogs,10,11,8,8,8,0,3,30,0.26,20,0.66,1,0,1,1,11,3,38,197,156,0.1,1,9,10,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,3
Grant,Ament,M,16,Archers,8,11,3,3,3,0,8,32,0.09,14,0.43,1,0,1,1,17,1,4,215,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Shane,Knobloch,M,27,Chaos,4,11,7,6,5,1,4,22,0.27,12,0.54,1,1,1,1,4,0,4,84,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Justin,Anderson,M,21,Outlaws,10,10,9,9,9,0,1,27,0.33,14,0.51,3,0,0,0,9,3,15,148,112,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,7
Romar,Dennis,M,5,Redwoods,8,10,9,5,1,4,1,42,0.11,21,0.5,25,0.16,13,0.52,1,1,4,162,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,3,2
Will,Manny,A,0,Cannons,5,10,7,7,7,0,3,23,0.3,16,0.69,0,0,0,0,5,2,4,94,66,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,1,6
Connor,Kirst,M,34,Cannons,10,10,8,7,6,1,2,29,0.24,15,0.51,7,0.14,4,0.57,14,1,12,109,66,0.36,8,14,22,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,1,6
Michael,Grace,LSM,20,Atlas,8,10,6,4,2,2,4,6,0.66,5,0.83,4,0.5,3,0.75,1,6,18,58,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
Levi,Anderson,M,88,Whipsnakes,8,10,9,9,9,0,1,32,0.28,23,0.71,0,0,0,0,6,1,3,115,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,3
Colin,Heacock,M,10,Whipsnakes,8,9,8,8,8,0,1,27,0.29,17,0.62,3,0,0,0,4,1,1,98,67,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8
Jake,Stevens,M,14,Atlas,10,9,9,9,9,0,0,33,0.27,20,0.6,1,0,0,0,16,1,10,116,67,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,8
Graham,Bundy,M,0,Outlaws,10,9,7,4,1,3,2,38,0.1,22,0.57,22,0.13,13,0.59,3,1,5,226,185,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,1,1,3
Aidan,Danenza,M,88,Redwoods,6,9,9,9,9,0,0,28,0.32,18,0.64,2,0,0,0,7,0,4,116,81,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,3,0,0,0,2,7
Josh,Balcarcel,M,34,Redwoods,10,9,7,7,7,0,2,22,0.31,20,0.9,2,0,1,0.5,7,0,6,158,129,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,6,1
JJ,Sillstrop,M,51,Chaos,10,8,5,5,5,0,3,22,0.22,18,0.81,0,0,0,0,9,2,3,141,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Ryan,Terefenko,SSDM,34,Outlaws,10,8,6,5,4,1,2,15,0.33,10,0.66,5,0.2,2,0.4,8,2,18,142,119,0,0,6,6,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,4
